"","code","biomass","desired","scalar"
"1","MAK",6637.500489,6637.5,1
"2","HER",1684123.999211,1684170,1
"3","WHK",80218.777915,80218.80689,1
"4","BLF",2697.000732,2697,1
"5","WPF",12347.108944,12347.10863,1
"6","SUF",3907.973802,3907.97403,1
"7","WIF",35892.101552,35892.08921,1
"8","WTF",21423.014437,21423.01856,1
"9","FOU",8105.290474,8105.29059,1
"10","HAL",3646.221758,3646.22214,1
"11","PLA",38854.987512,38854.99289,1
"12","FLA",657.001117,657,1
"13","BFT",1596.410877,1596.408,1
"14","TUN",2273.672064,2273.672,1
"15","BIL",967.521063,967.52,1
"16","MPF",20.000012,20,1
"17","BUT",5673.268402,5673.271,1
"18","BPF",12508.163429,12508.14644,1
"19","ANC",2343.333341,2343.334,1
"20","GOO",66381.176868,66381.20103,1
"21","MEN",3164.950178,3164.95,1
"22","FDE",4742.760904,4742.751,1
"23","COD",312490.477558,312490.47648,1
"24","SHK",124595.362124,124595.38234,1
"25","OHK",639.214672,639.21481,1
"26","POL",247495.509159,247495.45461,1
"27","RHK",68851.362762,68851.37094,1
"28","BSB",858.708791,858.70898,1
"29","SCU",8099.266287,8099.26722,1
"30","TYL",466.919549,466.91954,1
"31","RED",204570.500843,204570.50472,1
"32","OPT",68242.969626,68242.97152,1
"33","SAL",27.157671,26.16006,0.96
"34","DRM",444.321389,444.32128,1
"35","STB",2040.222496,2041.195,1
"36","TAU",385.523985,385.52398,1
"37","WOL",6193.668157,6193.66775,1
"38","SDF",638.252246,638.52646,1
"39","FDF",287990.635336,287990.4855,1
"40","HAD",837622.56179,837622.3253,1
"41","YTF",88958.169475,88958.13655,1
"42","DOG",633208.232063,633208.324,1
"43","SMO",17226.461974,17226.46154,1
"44","SSH",3484.866614,3484.86403,1
"45","DSH",1253.232973,1253.7247,1
"46","BLS",2873.399429,2873.4,1
"47","POR",1436.70067,1436.7,1
"48","PSH",3113.13504,3114.6879,1
"49","WSK",128730.740894,128678.71575,1
"50","LSK",130901.317294,130790.82432,1
"51","SK",182180.464532,181995.72683,1
"52","SB",1809.228404,1808.5,1
"53","PIN",2095.585967,7660.8,3.66
"54","REP",803.078597,803.2,1
"55","RWH",18092.802633,18046.14,1
"56","BWH",72237.673595,72184.56,1
"57","SWH",12006.480059,11998.44,1
"58","TWH",7996.966972,7998.96,1
"59","INV",2611.046853,2616.006,1
"60","LSQ",13932.992016,27578,1.98
"61","ISQ",4322.204483,10000,2.31
"62","SCA",56369.999999,35183,0.62
"63","QHG",3999999.999968,3178000,0.79
"64","CLA",6688270.941798,1e+06,0.15
"65","BFF",9591952.491365,1540650.925,0.16
"66","BG",4115145.371852,5035438.6,1.22
"67","LOB",57999.999999,20570,0.35
"68","RCB",9000,434,0.05
"69","BMS",803070.1476,723132.18,0.9
"70","NSH",20556.776107,45000,2.19
"71","OSH",60718.854376,90000,1.48
"72","ZL",144409.636524,88497.14463,0.61
"73","BD",777546.764382,375230138.3,482.58
"74","MA",53524.928353,53524.93,1
"75","MB",0,0,1
"76","SG",20571.616115,20571.62,1
"77","BC",14650522.787021,6025037.3,0.41
"78","ZG",247229.297729,151644.37195,0.61
"79","PL",77101.412633,548371.06778,7.11
"80","DF",25670.629901,201134.7379,7.84
"81","PS",182091.547906,163315.90861,0.9
"82","ZM",154807.130354,94440.61072,0.61
"83","ZS",609986.304677,374087.87271,0.61
"84","PB",31811.945438,31842.8,1
"85","BB",15052.391319,15062593.3,1000.68
"86","BO",1219243.696804,60250373.3,49.42
"87","DL",15052391.318573,15052390,1
"88","DR",60209.565274,60209.57,1
"89","DC",0,0,1
"90","DIN",329357996.662675,329358000,1
